월,구분,담당부서,광고주명,코드,총매출,영업수익,영업비용,영업실적,인건비,관리손익
2월,광고주,SAE팀,(주)정보라인,59099,"489,660","73,450",0,"73,450","33,880","39,570"
2월,광고주,SAE팀,제이비엠,61149,"486,270","72,941",0,"72,941","33,645","39,296"
2월,광고주,CS파트,(주)바오솔루션스,56129,"368,565","55,286","7,500","47,786","33,637","14,149"
2월,광고주,CS파트,한국생산성본부,17297,"364,850","54,728",0,"54,728","33,298","21,430"
2월,광고주,SAE팀,바로디자인,54937,"475,247","71,287",0,"71,287","32,882","38,405"
2월,광고주,SAE팀,더히얼컴퍼니,60999,"474,840","71,227",0,"71,227","32,855","38,372"
2월,광고주,운영실1팀 (박유종),고마컴퍼니 주식회사,60445,"695,270","104,291",0,"104,291","32,505","71,786"
2월,광고주,CS파트,레그노,14771,"339,300","50,896",0,"50,896","30,967","19,929"
2월,광고주,CS파트,우진디자인시스템퍼니처,38656,"338,850","50,828",0,"50,828","30,924","19,904"
2월,광고주,SAE팀,주식회사 맛있는에프앤비,58787,"430,980","64,648",0,"64,648","29,820","34,828"
2월,광고주,CS파트,마포크린,58587,"362,460","48,353",0,"48,353","29,418","18,935"
2월,광고주,SAE팀,더서울치과,56535,"751,347","63,181",0,"63,181","29,143","34,038"
2월,광고주,CS파트,칠판마트,26860,"315,870","47,381",0,"47,381","28,828","18,553"
2월,광고주,SAE팀,아리아르마투렌코리아 유한회사,61327,"414,996","62,250",0,"62,250","28,714","33,536"
2월,광고주,CS파트,카인드짐 휘트니스,58394,"312,580","46,887",0,"46,887","28,528","18,359"
2월,광고주,SAE팀,AHA 산업(아하산업),20031,"412,143","61,823",0,"61,823","28,517","33,306"
2월,광고주,SAE팀,한소 주식회사,51366,"405,370","60,806",0,"60,806","28,048","32,758"
2월,광고주,CS파트,주식회사 세일,58050,"296,630","44,495",0,"44,495","27,072","17,423"
2월,광고주,SAE팀,소솜시티,41042,"389,760","58,465",0,"58,465","26,968","31,497"
2월,광고주,CS파트,평택크레인,16918,"289,300","43,396",0,"43,396","26,403","16,993"
2월,광고주,CS파트,수원에버성형외과의원,33481,"289,290","43,394",0,"43,394","26,402","16,992"
2월,광고주,CS파트,주식회사 강성냉동컨테이너,60958,"282,900","42,436",0,"42,436","25,820","16,616"
2월,광고주,운영실1팀 (박유종),분이곶감,51781,"551,360","82,705",0,"82,705","25,778","56,927"
2월,광고주,CS파트,디지털서울문화예술대학교,43116,"274,950","41,243",0,"41,243","25,094","16,149"
2월,광고주,SAE팀,태흥교역,45282,"350,580","52,588",0,"52,588","24,257","28,331"
2월,광고주,CS파트,제이원 인터내셔널,59391,"259,160","38,874",0,"38,874","23,652","15,222"
2월,광고주,CS파트,안성비단잉어,23040,"258,450","38,768",0,"38,768","23,586","15,182"
2월,광고주,CS파트,(주)짐모아인터내쇼날,31794,"258,404","38,762",0,"38,762","23,583","15,179"
2월,광고주,운영실2팀 (주규철),주식회사 플라톤벤쳐스,58438,0,0,0,0,"22,978","-22,978"
2월,광고주,CS파트,대구연합행정사사무소,58804,"248,930","37,340",0,"37,340","22,719","14,621"
2월,광고주,SAE팀,주식회사 제이컴스,57617,"326,920","49,038",0,"49,038","22,620","26,418"
2월,광고주,SAE팀,온뮤직실용음악강북캠퍼스학원,51920,"326,510","48,977",0,"48,977","22,592","26,385"
2월,광고주,SAE팀,온뮤직실용음악강서학원,54363,"325,070","48,761",0,"48,761","22,492","26,269"
2월,광고주,SAE팀,코코원룸텔 염창역점,41870,"324,640","48,697",0,"48,697","22,462","26,235"
2월,광고주,운영실1팀 (박유종),봄날가정법률사무소,57396,"478,690","71,804",0,"71,804","22,381","49,423"
2월,광고주,SAE팀,솔밭펜션,39744,"313,850","47,078",0,"47,078","21,716","25,362"
2월,광고주,CS파트,나비에스한의원,54699,"237,480","35,623",0,"35,623","21,674","13,949"
2월,광고주,CS파트,(주)대영테크,42498,"234,150","35,123",0,"35,123","21,370","13,753"
2월,광고주,SAE팀,(주)이룸에프엔비,61355,"295,900","44,385",0,"44,385","20,473","23,912"
2월,광고주,CS파트,독일지멘스보청기 구미,59403,"216,590","32,489",0,"32,489","19,767","12,722"
2월,광고주,SAE팀,메디앙,37955,"234,537","41,960",0,"41,960","19,355","22,605"
2월,광고주,SAE팀,가나식품기계,6698,"270,570","40,586",0,"40,586","18,721","21,865"
2월,광고주,SAE팀,주식회사 전구샵,61361,"263,690","39,554",0,"39,554","18,245","21,309"
